URL,Company,Summary,Keywords,Country,SuperSector,Search Keywords
https://aiolux.com/reports/analytics-technical-indicators?symbol=V&tab_name=rsi,Visa Inc. Cl A,"OthersJust Launched!Check out, which lets you enjoy ChatGPT functionality with recent financial informationConversationally interact with chatGPT to analyze updated prices, technical indicators, financial statements, macro-economic/company news &","('Generative AI', 'ChatGPT')",United States,Consumer Finance,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.sec.gov/Archives/edgar/data/878719/000119312523291471/d621442dncsr.htm,Visa Inc. Cl A,. .,(),United States,Consumer Finance,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://aiolux.com/contrasts/side-by-side?symbol_arr%5B%5D=V&symbol_arr%5B%5D=SPY,Visa Inc. Cl A,A vs. SPDR S&P 500 ETF - Stock / ETF Comparison | AioluxFindLoading...Related LinksThis lets you enjoy ChatGPT functionality with recent financial,"('Generative AI', 'ChatGPT')",United States,Consumer Finance,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://fundresearch.fidelity.com/mutual-funds/view-all/316066208,Visa Inc. Cl A,. .,(),United States,Consumer Finance,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://fundresearch.fidelity.com/mutual-funds/view-all/316184100,Visa Inc. Cl A,. .,(),United States,Consumer Finance,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.globenewswire.com/news-release/2024/03/13/2845468/19933/en/Broadcom-Extends-Technology-and-Volume-Leadership-on-AI-Optical-Components.html,Broadcom Inc.,Broadcom's state-of-the-art optics technologies facilitate high speed interconnects for front-end and back-end networks of large-scale generative AI compute clusters . Broadcom’s 200G VC,"('Generative AI',)",United States,Semiconductors,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.broadcom.com/blog/generative-ai-and-the-transformation-of-everything,Broadcom Inc.,Generative AI and the transformation of everything .,"('Generative AI',)",United States,Semiconductors,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.broadcom.com/company/news/product-releases/61426,Broadcom Inc.,. .,(),United States,Semiconductors,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://investors.broadcom.com/news-releases/news-release-details/broadcom-partners-google-cloud-strengthen-gen-ai-powered,Broadcom Inc.,"Symantec, a division of AVGO, is partnering with Google Cloud to embed generative AI (gen AI) into the Symantek Security platform in a phased rollout that will give customers a significant technical","('LLM', 'Generative AI', 'PaLM 2')",United States,Semiconductors,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.broadcom.com/blog/implications-of-generative-ai-for-enterprise-security,Broadcom Inc.,Implications of Generative AI for enterprise security .,"('Generative AI',)",United States,Semiconductors,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://finance.yahoo.com/news/broadcom-avgo-beneficiary-generative-artificial-131038901.html,Broadcom Inc.,. .,(),United States,Semiconductors,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://symantec-enterprise-blogs.security.com/blogs/feature-stories-broadcom-software/generative-ai-and-transformation-everything,Broadcom Inc.,"Generative AI is an innovation that is transforming everything . But like many new technologies, the anxieties it creates may have more to do with fear for the future rather than how that future will be . In just six months","('ChatGPT', 'Generative AI')",United States,Semiconductors,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.globenewswire.com/news-release/2024/03/13/2845468/0/en/Broadcom-Extends-Technology-and-Volume-Leadership-on-AI-Optical-Components.html,Broadcom Inc.,Broadcom's state-of-the-art optics technologies facilitate high speed interconnects for front-end and back-end networks of large-scale generative AI compute clusters . Broadcom’s 200G VC,"('Generative AI',)",United States,Semiconductors,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.theglobeandmail.com/investing/markets/stocks/NVO/pressreleases/23661206/2-rising-biotechs-that-could-become-the-next-novo-nordisk/,Novo Nordisk A/S ADR,. .,(),United States,Pharmaceuticals,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.theglobeandmail.com/investing/markets/stocks/NVO-N/pressreleases/23986347/novo-nordisk-just-gave-investors-165-billion-more-reasons-to-get-excited/,Novo Nordisk A/S ADR,. .,(),United States,Pharmaceuticals,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.barchart.com/story/news/24001530/wall-streets-next-stock-split-stocks-are-liable-to-be-familiar-names,Novo Nordisk A/S ADR,Nvidia's A100 and H100 GPUs have been the clear top choice by businesses looking to incorporate AI solutions and generative AI into their growth strategies . Taiwan Semi's actions should help NVidia meaningfully ramp production,"('Generative AI',)",United States,Pharmaceuticals,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://protech4you.pl/novo-learning.html,Novo Nordisk A/S ADR,. .,(),United States,Pharmaceuticals,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://doc.morningstar.com/Document/29eb3e89b6c7fdf6c765f219c15bb596.msdoc/?key=8e4aae5472d794c04c8d626a6392f8dad15671ad50f836cb,Novo Nordisk A/S ADR,"The Trust utilized an options overlay strategy in which calls are written on a portion of the portfolioâs holdings . First-quarter 2023 financial results showed substantial revenue from generative AI, and Nvidia substantially upgraded its guidance","('Generative AI',)",United States,Pharmaceuticals,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.sec.gov/Archives/edgar/data/1710607/000171060723000272/acetf83123n-csr.htm,Novo Nordisk A/S ADR,. .,(),United States,Pharmaceuticals,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.theglobeandmail.com/investing/markets/stocks/NVO-T/pressreleases/23933785/,Novo Resources Corp.,. .,(),Canada,Gold,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://ca.finance.yahoo.com/news/agm-management-presentation-details-163600117.html,Novo Resources Corp.,. .,(),Canada,Gold,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.linkedin.com/posts/proactive-investors_ai-boost-for-tech-stocks-has-all-but-evaporated-activity-7125491656287481857-rIzD,Novo Resources Corp.,AI hype has not been the pivotal market driver many assumed .,"('ChatGPT',)",Canada,Gold,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/novo-resources-acquires-millennium-minerals-to-fast-track-beatons-creek-59752649,Novo Resources Corp.,. .,(),Canada,Gold,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.linkedin.com/posts/proactive-investors_novo-resources-corp-continues-gold-run-at-activity-7074219158313279488-_cJt,Novo Resources Corp.,. .,(),Canada,Gold,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.theglobeandmail.com/investing/markets/stocks/NVO-T/pressreleases/22858828/,Novo Resources Corp.,. .,(),Canada,Gold,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.proactiveinvestors.co.uk/companies/news/1042028/novo-resources-renewing-board-and-leadership-team-to-drive-strategy-and-add-skills-1042028.html,Novo Resources Corp.,"Proactive will on occasion use automation and software tools, including generative AI .","('Generative AI',)",Canada,Gold,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/novo-completes-millennium-minerals-acquisition-for-c-57-6m-60252092,Novo Resources Corp.,. .,(),Canada,Gold,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://do.linkedin.com/posts/krzysztof-muszelik-b1aa6031_jpmorgan-is-developing-a-chatgpt-like-ai-activity-7068858519109672960-Qjtt,JPMorgan Chase & Co.,"JPMorgan Chase enters generative AI race with IndexGPT trademark!will tap “cloud computing software using artificial intelligence” for “analyzing and selecting securities tailored to customer needs,” according to the filing.CompartirCopiar","('Generative AI', 'ChatGPT')",Colombia,Major International Banks,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://ve.linkedin.com/posts/tonyhophd_ai-powered-marketing-and-sales-reach-new-activity-7071473243202703360-YgPZ,JPMorgan Chase & Co.,"Tony Ho, Ph.D.Executive Director at J.P. Morgan Chase | Commercial & Investment Banking Strategy | Data & AI | Ex-McKinsey9 mesesThe rise of AI,","('Generative AI',)",Colombia,Major International Banks,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
